food,calories,protein,carbs,fat
"Pork, cured, bacon, cooked, restaurant",1295.0,40.9,2.1,36.5
"Flour, wheat, all-purpose, enriched, bleached",948.0,10.9,77.3,1.48
"Flour, wheat, all-purpose, enriched, unbleached",929.0,13.1,73.2,1.48
"Flour, wheat, all-purpose, unenriched, unbleached",936.0,12.0,74.6,1.7
"Flour, whole wheat, unenriched",960.0,15.1,71.2,2.73
"Flour, bread, white, enriched, unbleached",941.5,14.3,72.8,1.65
"Flour, rice, white, unenriched",929.5,6.94,79.8,1.3
"Flour, corn, yellow, fine meal, enriched",942.0,6.2,80.8,1.74
"Onions, red, raw",115.0,0.94,9.93,0.1
"Onions, yellow, raw",99.0,0.83,8.61,0.05
"Bananas, overripe, raw",221.0,0.73,20.1,0.22
"Bananas, ripe and slightly ripe, raw",252.5,0.74,23.0,0.29
"Garlic, raw",370.0,6.62,28.2,0.38
"Flour, soy, defatted",948.0,51.1,32.9,3.33
"Flour, soy, full-fat",1171.0,38.6,27.9,20.7
"Flour, rice, brown",973.728,7.19,75.5,3.85
"Flour, rice, glutinous",929.0,6.69,80.1,1.16
"Flour, pastry, unenriched, unbleached",929.0,8.75,77.2,1.64
"Onions, white, raw",91.5,0.89,7.68,0.13
"Bananas, overripe, raw",221.0,0.73,20.1,0.22
"Bananas, ripe and slightly ripe, raw",252.5,0.74,23.0,0.29
"Apples, red delicious, with skin, raw",160.0,0.19,14.8,0.21
"Apples, honeycrisp, with skin, raw",156.0,0.1,14.7,0.1
"Apples, granny smith, with skin, raw",153.0,0.27,14.2,0.14
"Apples, gala, with skin, raw",158.5,0.13,14.8,0.15
"Apples, fuji, with skin, raw",168.0,0.15,15.7,0.16
